ID,Book ID,Image URL,local_image_path,Name,Book Code,Price,Publishers,Grade,Book Category
1379,21471,../public/books/1379.jpg,../public/books/1379.jpg,ACCESS KCSE REVISION SERIES DURUSU KISWAHILI,JKF392,KES 500,The Jomo Kenyatta Foundation,FORM 4,Revision & Workbooks
1380,21508,../public/books/1380.jpg,../public/books/1380.jpg,KLB SKILLGROW MAZOEZI YA LUGHA PP1,KLB017,KES 401,Kenya Literature Bureau (KLB),Pre-Primary 1,Course Books
1381,21510,../public/books/1381.jpg,../public/books/1381.jpg,KLB SKILLGROW MAZOEZI YA LUGHA PP2,KLB019,KES 447,Kenya Literature Bureau (KLB),Pre-Primary 2,Course Books
1382,21511,../public/books/1382.jpg,../public/books/1382.jpg,KLB SKILLGROW MAZOEZI YA LUGHA PP2 TEACHER'S GUIDE,KLB020,KES 441,Kenya Literature Bureau (KLB),Pre-Primary 2,Teacher's Guides
1383,21593,../public/books/1383.jpg,../public/books/1383.jpg,KLB VISIONARY MAZOEZI YA KISWAHILI 1 TEACHER'S GUIDE,KLB102,KES 476,Kenya Literature Bureau (KLB),GRADE 1,Teacher's Guides
1384,21592,../public/books/1384.jpg,../public/books/1384.jpg,KLB VISIONARY MAZOEZI YA KISWAHILI 1,KLB100,KES 430,Kenya Literature Bureau (KLB),GRADE 1,Course Books
1385,21594,../public/books/1385.jpg,../public/books/1385.jpg,KLB VISIONARY MAZOEZI YA KISWAHILI 2,KLB103,KES 418,Kenya Literature Bureau (KLB),GRADE 2,Course Books
1386,21595,../public/books/1386.jpg,../public/books/1386.jpg,KLB VISIONARY MAZOEZI YA KISWAHILI 2 TEACHER'S GUIDE,KLB104,KES 511,Kenya Literature Bureau (KLB),GRADE 2,Teacher's Guides
1387,21597,../public/books/1387.jpg,../public/books/1387.jpg,KLB VISIONARY MAZOEZI YA KISWAHILI 3 TEACHER'S GUIDE,KLB106,KES 580,Kenya Literature Bureau (KLB),GRADE 3,Teacher's Guides
1388,21598,../public/books/1388.jpg,../public/books/1388.jpg,KLB VISIONARY MAZOEZI YA KISWAHILI 4,KLB107,KES 418,Kenya Literature Bureau (KLB),GRADE 4,Course Books
1389,21596,../public/books/1389.jpg,../public/books/1389.jpg,KLB VISIONARY MAZOEZI YA KISWAHILI 3,KLB105,KES 453,Kenya Literature Bureau (KLB),GRADE 3,Course Books
1390,21600,../public/books/1390.jpg,../public/books/1390.jpg,KLB VISIONARY MAZOEZI YA KISWAHILI 5,KLB109,KES 488,Kenya Literature Bureau (KLB),GRADE 5,Course Books
1391,21652,../public/books/1391.jpg,../public/books/1391.jpg,KLB VISIONARY STADI ZA KUDURUSU KISWAHILI,KLB161,KES 580,Kenya Literature Bureau (KLB),GRADE 6,Revision & Workbooks
1392,21673,../public/books/1392.jpg,../public/books/1392.jpg,KLB EARLY GRADE KISWAHILI 1,KLB182,KES 406,Kenya Literature Bureau (KLB),GRADE 1,Course Books
1393,21677,../public/books/1393.jpg,../public/books/1393.jpg,KLB EARLY GRADE KISWAHILI 3,KLB186,KES 406,Kenya Literature Bureau (KLB),GRADE 3,Course Books
1394,21689,../public/books/1394.jpg,../public/books/1394.jpg,KLB HOME FUN VISIONARY KISWAHILI MAZOEZI YA ZIADA 1,KLB198,KES 256,Kenya Literature Bureau (KLB),GRADE 1,Revision & Workbooks
1395,21696,../public/books/1395.jpg,../public/books/1395.jpg,ALPHA MAZOEZI YA KISWAHILI,KLB205,KES 342,Kenya Literature Bureau (KLB),Pre-Primary 2,Course Books
1396,21723,../public/books/1396.jpg,../public/books/1396.jpg,MWANZO WA MASOMO 1,KLB232,KES 287,Kenya Literature Bureau (KLB),Pre-Primary 1,Course Books
1397,21724,../public/books/1397.jpg,../public/books/1397.jpg,MWANZO WA MASOMO 2,KLB233,KES 287,Kenya Literature Bureau (KLB),Pre-Primary 2,Course Books
1398,22140,../public/books/1398.jpg,../public/books/1398.jpg,KISWAHILI KITUKUZWEKIDATO CHA 1,KLB649,KES 624,Kenya Literature Bureau (KLB),FORM 1,Course Books
1399,22141,../public/books/1399.jpg,../public/books/1399.jpg,KISWAHILI KITUKUZWE 1 TG,KLB650,KES 637,Kenya Literature Bureau (KLB),FORM 1,Teacher's Guides
1400,22143,../public/books/1400.jpg,../public/books/1400.jpg,KISWAHILI KITUKUZWE 2 TG,KLB652,KES 590,Kenya Literature Bureau (KLB),FORM 2,Teacher's Guides
1401,22148,../public/books/1401.jpg,../public/books/1401.jpg,KISWAHILI KITUKUZWE 3,KLB657,KES 650,Kenya Literature Bureau (KLB),FORM 3,Course Books
1402,22149,../public/books/1402.jpg,../public/books/1402.jpg,KISWAHILI KITUKUZWE 3 TG,KLB658,KES 600,Kenya Literature Bureau (KLB),FORM 3,Teacher's Guides
1403,22150,../public/books/1403.jpg,../public/books/1403.jpg,KISWAHILI KWA DARASA LA 3,KLB659,KES 600,Kenya Literature Bureau (KLB),GRADE 3,Course Books
1404,22151,../public/books/1404.jpg,../public/books/1404.jpg,KISWAHILI KWA DARASA LA 4,KLB660,KES 666,Kenya Literature Bureau (KLB),GRADE 4,Course Books
1405,22219,../public/books/1405.jpg,../public/books/1405.jpg,TOP MARK KCSE KISWAHILI,KLB728,KES 711,Kenya Literature Bureau (KLB),FORM 4,Revision & Workbooks
