,name,image_url,price,,
,Microtome Hand Type,/images/apparatus/170.jpg,"8,090.00,,
,Milli Ammeter Analog,/images/apparatus/171.jpg,"1,490.00,,
,Mobile laboratories(portable),/images/apparatus/172.jpg,"45,000.00,,
,"Model (Brain, Ear,Eye,Kidney,Teeth,Heart)",/images/apparatus/173.jpg,"1,490.00,,
,"Model Digestive, Skin, Respiratory",/images/apparatus/174.jpg,"2,240.00,,
,Multimeter (Avometer),/images/apparatus/175.jpg,"1,240.00,,
,Muslin Cloth,/images/apparatus/176.jpg,310,,
,Navigating Compass,/images/apparatus/177.jpg,"1,870.00,,
,Newton's Colour Disc On Stand,/images/apparatus/178.jpg,"1,230.00,,
,Newton's Ring Apparatus,/images/apparatus/179.jpg,"1,060.00,,
,Nichrome Wire,/images/apparatus/180.jpg,810,,
,Optical Bench With Accessories,/images/apparatus/181.jpg,"4,350.00,,
,Optical Pins,/images/apparatus/182.jpg,300,,
,Overflow Can,/images/apparatus/183.jpg,180,,
,P.V.C Tubing,/images/apparatus/184.jpg,140,,
,Pencil Jockey,/images/apparatus/185.jpg,430,,
,Pendulum Bob,/images/apparatus/186.jpg,180,,
,Periodical Table Chart,/images/apparatus/187.jpg,"1,240.00,,
,Periscope,/images/apparatus/188.jpg,810,,
,Perspex Rod,/images/apparatus/189.jpg,245,,
,PH Meter,/images/apparatus/190.jpg,"3,500.00,,
,Photo Cell,/images/apparatus/191.jpg,"4,350.00,,
,Physics Exploration Kit,/images/apparatus/192.jpg,"15,000.00,,
,Pinhole Camera,/images/apparatus/193.jpg,720,,
,Pipe Clay Triangles,/images/apparatus/194.jpg,100,,
,Pipette Filler,/images/apparatus/195.jpg,560,,
,Pith Balls on Stand,/images/apparatus/196.jpg,560,,
,Platinum Loop,/images/apparatus/197.jpg,750,,
,Platinum Wire,/images/apparatus/198.jpg,750,,
,Platinum Wire Holder,/images/apparatus/199.jpg,390,,
,Plug Key,/images/apparatus/200.jpg,300,,
,Polythene Rod,/images/apparatus/201.jpg,560,,
,Porous Pot,/images/apparatus/202.jpg,220,,
,Portable Gas Burner,/images/apparatus/203.jpg,"2,800.00,,
,Potentiometer With Pencil Jockey,/images/apparatus/204.jpg,"4,350.00,,
,Potometer Student,/images/apparatus/205.jpg,740,,
,Power Pack 0-30V,/images/apparatus/206.jpg,"45,000.00,,
,Pulley (Plastic),/images/apparatus/207.jpg,340,,
,Rain Gauge Measuring Cylinder,/images/apparatus/208.jpg,"3,110.00,,
,Rain-Gauge,/images/apparatus/209.jpg,"2,830.00,,
,Ray Box Complete,/images/apparatus/210.jpg,"7,500.00,,
,Reducer,/images/apparatus/211.jpg,750,,
,Refractometer,/images/apparatus/212.jpg,"8,000.00,,
,Rego Regulator,/images/apparatus/213.jpg,"12,000.00,,
,Resistance Box Plug,/images/apparatus/214.jpg,"1,620.00,,
,Resistance Coil,/images/apparatus/215.jpg,340,,
,Resistor Carbon,/images/apparatus/216.jpg,90,,
,Resistor Variable,/images/apparatus/217.jpg,"1,070.00,,
,Resonance Apparatus Complete,/images/apparatus/218.jpg,"5,150.00,,
,Retort (Clamp & Boss),/images/apparatus/219.jpg,690,,
,Retort Boss Head,/images/apparatus/220.jpg,290,,
,Retort Clamp,/images/apparatus/221.jpg,350,,
,Retort Ring,/images/apparatus/222.jpg,430,,
,Retort Stand Complete,/images/apparatus/223.jpg,"1,250.00,,
,Retort(Base & Rod),/images/apparatus/224.jpg,580,,
,Rheostat,/images/apparatus/225.jpg,"1,620.00,,
,Ripple Tank Complete With Power Supply,/images/apparatus/226.jpg,"25,000.00,,
,Ripple Tank Motor Only,/images/apparatus/227.jpg,"2,500.00,,
,Rubber Hose,/images/apparatus/228.jpg,200,,
,Rubber Stopper,/images/apparatus/229.jpg,40,,
,Scalpel Blade,/images/apparatus/230.jpg,35,,
,Scalpel Handle No,/images/apparatus/231.jpg,140,,
,Scientific Calculator,/images/apparatus/232.jpg,"3,500.00,,
,Siphon Pump,/images/apparatus/233.jpg,750,,
,Slinky Springs,/images/apparatus/234.jpg,550,,
,Smoke Cell,/images/apparatus/235.jpg,"2,990.00,,
,Soft Iron Rod,/images/apparatus/236.jpg,430,,
,Soil Sieves,/images/apparatus/237.jpg,"5,500.00,,
,Solenoid With Terminal On Stand,/images/apparatus/238.jpg,"1,560.00,,
,Sonometer on Stand Complete,/images/apparatus/239.jpg,"5,470.00,,
,Spade Terminals,/images/apparatus/240.jpg,180,,
,Spatula,/images/apparatus/241.jpg,60,,
,Specimen Jar,/images/apparatus/242.jpg,"1,200.00,,
,Sphere Set,/images/apparatus/243.jpg,"1,490.00,,
,Spiral Spring,/images/apparatus/244.jpg,110,,
,Spiral Spring Pointer,/images/apparatus/245.jpg,20,,
,Spirit Lamp,/images/apparatus/246.jpg,560,,
,Splints Wooden,/images/apparatus/247.jpg,250,,
,Spring Balance,/images/apparatus/248.jpg,380,,
,Stop Clock,/images/apparatus/249.jpg,"3,150.00,,
,Stop Watch,/images/apparatus/250.jpg,550,,
,Stoppered Containers,/images/apparatus/251.jpg,15,,
,STUDENT MICROSCOPE,/images/apparatus/252.jpg,"9,500.00,,
,Swan Neck Water Tap,/images/apparatus/253.jpg,"1,950.00,,
,Sweep Net,/images/apparatus/254.jpg,650,,
,Sweep Net Handle,/images/apparatus/255.jpg,120,,
,Syringe,/images/apparatus/256.jpg,40,,
,Tally Counter,/images/apparatus/257.jpg,"1,700.00,,
,Tapping Key,/images/apparatus/258.jpg,200,,
,Test Tube Brush,/images/apparatus/259.jpg,60,,
,Test Tube holder,/images/apparatus/260.jpg,220,,
,Test Tube Stand,/images/apparatus/261.jpg,180,,
,Thermistor,/images/apparatus/262.jpg,180,,
,Thermocouple,/images/apparatus/263.jpg,370,,
,Thermometer,/images/apparatus/264.jpg,220,,
,Thermopile,/images/apparatus/265.jpg,630,,
,Thistle Funnel,/images/apparatus/266.jpg,250,,
,Ticker Tape Roll,/images/apparatus/267.jpg,300,,
,Ticker Tape Timer,/images/apparatus/268.jpg,"4,040.00,,
,Tiles,/images/apparatus/269.jpg,60,,
,Tiles Cavity,/images/apparatus/270.jpg,300,,
,Tripod Stand,/images/apparatus/271.jpg,280,,
,Tuning Fork,/images/apparatus/272.jpg,"1,990.00,,
,Universal Bottle,/images/apparatus/273.jpg,160,,
